basin, number, time, tech, forecastHr, lat , lon, vmax, mslp, 
basin, number, time, tech, model, forecastHr, lat , lon, vmax, mslp, 
WP, 19, 2006100100, 03, EE21,   0, 159N, 1086E,  47,  982, XX
WP, 19, 2006100100, 03, EE21,  12, 155N, 1068E,  40,  989, XX
WP, 19, 2006100100, 03, EE21,  24, 155N, 1050E,  37,  991, XX
WP, 19, 2006100100, 03, EE21,  36, 158N, 1033E,  32,  997, XX
WP, 19, 2006100100, 03, EE22,   0, 159N, 1086E,  47,  983, XX
WP, 19, 2006100100, 03, EE22,  12, 156N, 1068E,  31,  992, XX
WP, 19, 2006100100, 03, EE22,  24, 155N, 1048E,  29,  995, XX
WP, 19, 2006100100, 03, EE22,  36, 153N, 1035E,  22, 1000, XX
WP, 19, 2006100100, 03, EE22,  48, 152N, 1025E,  17, 1004, XX
WP, 19, 2006100100, 03, EE23,   0, 159N, 1086E,  47,  981, XX
WP, 19, 2006100100, 03, EE23,  12, 156N, 1069E,  37,  988, XX
WP, 19, 2006100100, 03, EE23,  24, 156N, 1049E,  25,  993, XX
WP, 19, 2006100100, 03, EE23,  36, 162N, 1029E,  20,  997, XX
WP, 19, 2006100100, 03, EE23,  48, 173N, 1003E,  21, 1002, XX
WP, 19, 2006100100, 03, EE24,   0, 159N, 1086E,  47,  984, XX
WP, 19, 2006100100, 03, EE24,  12, 154N, 1069E,  30,  994, XX
WP, 19, 2006100100, 03, EE24,  24, 150N, 1054E,  30,  995, XX
WP, 19, 2006100100, 03, EE24,  36, 146N, 1041E,  24,  998, XX
WP, 19, 2006100100, 03, EE24,  48, 143N, 1034E,  22, 1001, XX
WP, 19, 2006100100, 03, EE24,  60, 142N, 1025E,  16, 1003, XX
WP, 19, 2006100100, 03, EE24,  72, 136N, 1012E,  24, 1002, XX
WP, 19, 2006100100, 03, EE24,  84, 136N, 1013E,  20, 1001, XX
WP, 19, 2006100100, 03, EE24,  96, 135N, 1017E,  27, 1001, XX
WP, 19, 2006100100, 03, EE24, 108, 136N, 1013E,  17, 1001, XX
WP, 19, 2006100100, 03, EE24, 120, 136N, 1019E,  29, 1003, XX
WP, 19, 2006100100, 03, EE25,   0, 159N, 1086E,  47,  983, XX
WP, 19, 2006100100, 03, EE25,  12, 156N, 1071E,  34,  990, XX
WP, 19, 2006100100, 03, EE25,  24, 155N, 1053E,  30,  993, XX
WP, 19, 2006100100, 03, EE25,  36, 156N, 1034E,  25,  998, XX
WP, 19, 2006100100, 03, EE25,  48, 153N, 1013E,  18, 1003, XX
WP, 19, 2006100100, 03, EE26,   0, 159N, 1086E,  46,  983, XX
